week_start,baseline,baseline_deterministic,sentiment,competitor_shock,noise,quarter_scale,spend_true_search_nonbrand,spend_planned_search_nonbrand,adstock_search_nonbrand,contrib_search_nonbrand,spend_true_search_brand,spend_planned_search_brand,adstock_search_brand,contrib_search_brand,spend_true_social,spend_planned_social,adstock_social,contrib_social,spend_true_display,spend_planned_display,adstock_display,contrib_display,spend_true_video,spend_planned_video,adstock_video,contrib_video,spend_true_affiliate,spend_planned_affiliate,adstock_affiliate,contrib_affiliate
2023-01-02,265087.7047540425,265087.7047540425,0.0,0.0,21206.061385006436,1.0,28886.341368778714,20633.100977699083,24217.367476966283,55636.89930121441,5972.535567927943,6617.857194953295,4922.026244960207,7791.972040851181,28126.469770140167,20090.33555010012,16034.715299618498,67202.94492618369,18344.475102134613,13103.196501524724,11927.621924051036,16274.468081246629,0.0,0.0,0.0,0.0,11015.81687280583,11015.81687280583,8721.078325772514,4695.317357018246
2023-01-09,402113.4863708792,371296.75748994097,0.07973272489658634,0.0,15206.401068218078,1.0,36733.87653644875,36733.87653644875,34710.80088144797,63941.084626038304,12159.486035868396,10311.442853856073,10886.489183066938,11933.867809335188,39572.706916491625,39572.706916491625,29453.72607813201,94730.69860325882,25463.122930464877,25463.122930464877,20728.44640481504,23441.6229949512,32320.29004124123,32320.29004124123,3232.0290041241237,9534.393806147922,17679.411674351904,17679.411674351904,15813.273830583395,5899.367450731966
2023-01-16,383002.764380304,369356.31341275305,0.03628040972259184,0.0,-42814.01883226487,1.0,21244.35214142135,21244.35214142135,23420.969000687925,54742.13701190442,9184.373365806521,7747.881109373986,9483.758530236244,11206.908645055242,32333.313489301807,26073.218695986343,31095.647700431135,96822.53816376811,17459.821422574805,17459.821422574805,18603.194384985734,22085.591545078758,19866.094234963064,19866.094234963064,10066.681933806616,35679.86577818982,12910.052899466127,12910.052899466127,13514.831759712142,5587.625871762702
2023-01-23,330191.32635624876,317415.2700885878,0.0394613464369872,0.0,13193.555819167575,1.0,17715.372818973643,17715.372818973643,18637.58305317067,48167.32737769046,11822.37416053671,8529.007028529128,11411.035042112298,12179.390155801191,21445.902751628924,22792.291993623647,25594.695450154806,88971.18781880382,16436.064328351975,16436.064328351975,17194.13539839028,21072.787085927244,22725.291240497114,22725.291240497114,16935.13969516285,53397.46772036038,12542.473539972818,12542.473539972818,12745.028473308064,5469.567822087645
2023-01-30,324997.1976959435,313175.0872608591,0.03705414145542515,0.0,-3564.298607507632,1.0,21528.88005389293,21528.88005389293,21061.552259960423,51779.057222074094,8926.099737585693,7442.253968829715,9363.17502719242,11139.085958010037,25375.443380776647,25206.790479979743,25469.951373360887,88762.41149728483,14809.42763047294,14809.42763047294,15643.605784031211,19838.392477130717,20400.01225407014,20400.01225407014,19498.804513443636,58053.541163631344,11965.102650057956,11965.102650057956,12127.571400737957,5369.054154655351
2023-02-06,267475.7080970202,257927.07402047244,0.036351865229543964,0.0,20416.312648669358,1.0,31695.405386393002,31695.405386393002,29976.628267594137,60862.54498659561,13662.383171599471,10375.754447467585,12906.195422090927,12813.171573344567,25753.03093596386,26202.22931035097,25631.582034958148,89032.62546702582,17838.49195295148,17838.49195295148,17070.738001362803,20979.335288389397,0.0,0.0,18725.516402084148,56738.333631454094,13152.480664712744,13152.480664712744,12938.978690660784,5500.042633463617
2023-02-13,268667.9232911457,253528.92790854035,0.05799820053154827,0.0,22850.939777848398,1.0,15148.47284775759,15148.47284775759,17545.185871134407,46319.884799417436,7545.008005101811,5429.702177805942,8487.987299149772,10617.970749669357,13184.865840875771,13516.369427953421,18536.04149700284,74229.6435152197,8758.90801167021,8758.90801167021,11666.379139060882,15987.52775588558,0.0,0.0,13813.180025068894,46419.442664256654,7078.116807408235,7078.116807408235,8299.010908552706,4593.966101999957
2023-02-20,288246.4002643188,249366.83245216977,0.14489063579318356,0.0,14787.73113506436,1.0,20418.146738818,20418.146738818,19953.78266133479,50206.69729336884,14449.202512110161,8678.054393923236,13400.68432753589,13003.73014742637,23234.658116397655,24469.266294205783,21214.87302250195,80602.07381278704,16715.651711944734,16715.651711944734,14949.437239996663,19241.03399584344,0.0,0.0,7584.241842355316,26957.363540228314,11971.648560063462,11971.648560063462,11206.590173123483,5208.381983727248
2023-02-27,259727.42314766799,242028.95142139588,0.07057535560589037,0.0,15493.56447429256,1.0,19366.586428104518,19366.586428104518,19461.496471302966,49466.6267225372,8485.653063712281,6634.333029918872,9350.157948910963,11131.709634612364,20347.444198512538,20136.825237621382,20720.56484882275,79506.46275796993,15060.239171411844,15060.239171411844,15021.492333340599,19304.398121526665,0.0,0.0,3573.587672131132,10897.517333867654,7898.480313757545,7898.480313757545,8587.602821484734,4663.7841317291395
2023-03-06,252683.2045647239,239574.371932724,0.053272649617661996,0.0,-6037.259572584272,1.0,17279.929845576946,17279.929845576946,17632.542089299634,46473.10026048877,8226.698763627805,6845.5359083420335,8424.304008801842,10577.947540145246,17089.77334927001,18162.185427094966,18650.876971201575,74525.8071251992,11979.468180253212,11979.468180253212,13043.572362805284,17443.491182217902,0.0,0.0,1474.5064375134496,3175.154931147191,9929.38585406403,9929.38585406403,9649.874930998247,4902.50610782444
